class,instance,kernel,reps_sa,reps_flat,median_sa_s,median_flat_s,median_diff_s,min_sa_s,min_flat_s,cv_sa,cv_flat,rel_iqr_sa,rel_iqr_flat,meta_sa_s,meta_flat_s,diag_sa_s,diag_flat_s,apply_sa_s,apply_flat_s,cached_sa_s,cached_flat_s
Simple,caso12c.txt,Matrix-only,20,20,0.050013,0.008277,0.041737,0.049588,0.008144,0.0048,0.0118,0.0078,0.0085,0.039932,0.000192,0.004290,0.004090,0.005627,0.003936,0.009937,0.008022
Simple,caso12d.txt,Augmented,20,20,0.048809,0.008288,0.040521,0.048295,0.008217,0.0058,0.0137,0.0068,0.0253,0.039944,0.000192,0.004339,0.004094,0.004397,0.003938,0.008743,0.008031
Simple,caso12d.txt,Matrix-only,20,20,0.049944,0.008381,0.041563,0.049422,0.008112,0.0058,0.0508,0.0073,0.0241,0.039900,0.000192,0.004269,0.004149,0.005632,0.003944,0.009929,0.008129
Simple,caso12e.txt,Augmented,20,20,0.048793,0.008277,0.040516,0.048465,0.008070,0.0074,0.0171,0.0035,0.0204,0.039971,0.000191,0.004323,0.004085,0.004414,0.003938,0.008763,0.008024
Simple,caso12e.txt,Matrix-only,20,20,0.049929,0.008374,0.041554,0.049584,0.008115,0.0048,0.0170,0.0048,0.0175,0.039914,0.000192,0.004268,0.004154,0.005640,0.003926,0.009918,0.008118
Simple,caso12f.txt,Augmented,20,20,0.048727,0.008280,0.040447,0.048197,0.008114,0.0091,0.0133,0.0073,0.0138,0.039867,0.000192,0.004352,0.004099,0.004420,0.003942,0.008823,0.008031
Simple,caso12f.txt,Matrix-only,20,20,0.049955,0.008349,0.041607,0.049629,0.008224,0.0050,0.0096,0.0044,0.0090,0.039905,0.000192,0.004303,0.004159,0.005661,0.003943,0.009999,0.008102
Simple,caso14a.txt,Augmented,20,20,0.048732,0.008295,0.040436,0.048326,0.008079,0.0038,0.0118,0.0043,0.0164,0.039868,0.000192,0.004383,0.004120,0.004404,0.003926,0.008790,0.008051
Simple,caso14a.txt,Matrix-only,20,20,0.050137,0.008340,0.041798,0.049585,0.008121,0.0066,0.0120,0.0056,0.0144,0.040015,0.000193,0.004318,0.004153,0.005657,0.003941,0.009978,0.008087
Simple,caso14b.txt,Augmented,20,20,0.048989,0.008366,0.040623,0.048545,0.008207,0.4420,0.0205,0.0102,0.0237,0.040066,0.000194,0.004363,0.004144,0.004398,0.003936,0.008777,0.008118
Simple,caso14b.txt,Matrix-only,20,20,0.050138,0.008292,0.041847,0.049718,0.008147,0.0106,0.0214,0.0066,0.0209,0.039981,0.000194,0.004317,0.004125,0.005678,0.003927,0.010035,0.008046
Simple,caso14c.txt,Augmented,20,20,0.048822,0.008304,0.040517,0.048438,0.008140,0.0051,0.0168,0.0055,0.0088,0.039915,0.000193,0.004342,0.004125,0.004401,0.003930,0.008737,0.008051
Simple,caso14c.txt,Matrix-only,20,20,0.050115,0.008267,0.041848,0.049796,0.008028,0.0059,0.0127,0.0050,0.0132,0.040106,0.000193,0.004304,0.004087,0.005647,0.003913,0.009932,0.008014
Simple,caso14d.txt,Augmented,20,20,0.048787,0.008357,0.040430,0.048415,0.008191,0.0080,0.0184,0.0071,0.0107,0.039891,0.000195,0.004376,0.004159,0.004403,0.003945,0.008800,0.008105
Simple,caso14d.txt,Matrix-only,20,20,0.050088,0.008343,0.041745,0.049804,0.008103,0.0043,0.0219,0.0071,0.0257,0.040030,0.000194,0.004303,0.004145,0.005657,0.003926,0.009981,0.008087
